Name,Address,Website,Phone,Rating,ReviewCount,PlaceId
Proud Bird Restaurant,11022 Aviation Blvd Inglewood CA 90304,https://theproudbird.com,(424) 261-3901,4.3,1847,ChIJproudbird01
Earle's on Crenshaw,3864 Crenshaw Blvd Los Angeles CA 90008,https://earlesoncrenshaw.com,(323) 294-2751,4.6,412,ChIJearles01
The Serving Spoon,1403 Centinela Ave Inglewood CA 90302,https://theservingspoon.net,(310) 412-3927,4.5,893,ChIJservspoon01
Hilton's Steak House,3061 W Manchester Blvd Inglewood CA 90305,https://hiltonssteakhouse.com,(310) 671-0570,4.4,567,ChIJhiltons01
Bludso's BBQ,609 N La Brea Ave Los Angeles CA 90036,https://bludsos.com,(323) 931-2583,4.5,2134,ChIJbludsos01
Centinela Feed,814 Centinela Ave Inglewood CA 90302,,,(3.1),8,ChIJcentfeed01
McDonalds Inglewood,301 N La Brea Ave Inglewood CA 90301,https://mcdonalds.com,(310) 674-9201,3.4,445,ChIJmcd_ing01
Pann's Restaurant,6710 La Tijera Blvd Westchester CA 90045,https://panns.com,(310) 670-1441,4.5,2876,ChIJpanns01
Encounter Restaurant,209 World Way Los Angeles CA 90045,https://encounterlax.com,(310) 215-5151,4.0,1203,ChIJencounter01
Westchester Grill,8650 Sepulveda Blvd Westchester CA 90045,https://westchestergrill.com,(310) 641-8100,4.2,334,ChIJwchestgrill01
Dockweiler Bar and Grill,12100 Vista Del Mar Playa del Rey CA 90293,https://dockweilerbar.com,(310) 823-4522,4.1,287,ChIJdockweiler01
Culver City Bar,9748 Culver Blvd Culver City CA 90232,https://culvercitybar.com,(310) 558-1625,4.4,521,ChIJcvbar01
The Shack,185 Culver Blvd Playa del Rey CA 90293,https://theshackplayadelrey.com,(310) 823-6222,4.3,678,ChIJtheshack01
Father's Office,3229 Helms Ave Culver City CA 90034,https://fathersoffice.com,(310) 736-2224,4.4,4521,ChIJfathoff01
Buffalo Wild Wings Culver,10850 Jefferson Blvd Culver City CA 90230,https://buffalowildwings.com,(310) 815-9464,3.7,892,ChIJbww_cc01
Plan Check Kitchen,1800 Sawtelle Blvd West LA CA 90025,https://plancheck.com,(310) 288-6500,4.3,1876,ChIJplancheck01
Neighborhood,1212 S Barrington Ave West LA CA 90025,https://neighborhoodrestaurant.com,(310) 442-9099,4.5,743,ChIJneighborhood01
Shamshiri Grill,1712 Westwood Blvd Westwood CA 90024,https://shamshirigrill.com,(310) 474-1410,4.5,1243,ChIJshamshiri01
Naan Stop,1050 Gayley Ave Westwood CA 90024,https://naanstoplausa.com,(310) 208-6226,4.4,567,ChIJnaanstop01
Saffron & Rose,1387 Westwood Blvd Westwood CA 90024,https://saffronandrose.com,(310) 477-5533,4.6,892,ChIJsaffron01
Darya Persian Restaurant,1041 Westwood Blvd Westwood CA 90024,https://daryarestaurant.com,(310) 208-0199,4.5,423,ChIJdarya01
Anatolia Turkish Restaurant,1415 Westwood Blvd Westwood CA 90024,https://anatoliawestwood.com,(310) 477-1413,4.3,312,ChIJanatolia01
Istanbul Café Westwood,10850 Lindbrook Dr Westwood CA 90024,https://istanbulcafewestwood.com,(310) 443-1060,4.4,287,ChIJistanbul_ww01
Zankou Chicken Westwood,1716 S Sepulveda Blvd West LA CA 90025,https://zankouchicken.com,(310) 477-0900,4.4,1532,ChIJzankou_wla01
Attari Sandwich Shop,1388 Westwood Blvd Westwood CA 90024,https://attarisandwichshop.com,(310) 441-5488,4.7,687,ChIJattari01
Taste of Tehran,1727 Westwood Blvd Westwood CA 90024,https://tasteoftehran.com,(310) 470-3395,4.3,178,ChIJtasteoftehran01
Bosphorus Restaurant,10803 Venice Blvd Culver City CA 90034,https://bosphorusla.com,(310) 842-2500,4.5,234,ChIJbosphorus01
Alborz Persian Cuisine,1925 Westwood Blvd West LA CA 90025,https://alborzla.com,(310) 470-8800,4.4,389,ChIJalborz01
Chilis Inglewood,1 Arbor Vitae St Inglewood CA 90301,https://chilis.com,(310) 677-3200,3.6,234,ChIJchilis_ing01
Applebees Inglewood,3701 W Century Blvd Inglewood CA 90304,https://applebees.com,(310) 671-4444,3.5,312,ChIJapplebees_ing01
Marina del Rey Hotel Bar,13534 Bali Way Marina del Rey CA 90292,https://marinadelreyhotel.com,(310) 301-1000,4.2,445,ChIJmdr_hotel01
Beachside Bar Culver,13455 Maxella Ave Marina del Rey CA 90292,https://beachsidebar.com,(310) 822-2888,4.3,312,ChIJbeachside01
Ports O' Call,12862 Culver Blvd Playa del Rey CA 90293,https://portsocall.com,(310) 821-5550,4.0,89,ChIJports01
The Hangar Bar,7500 Airport Blvd El Segundo CA 90245,https://hangarbar.com,(310) 640-1100,4.5,421,ChIJhangar01
Wingstop Inglewood,3900 W Century Blvd Inglewood CA 90304,https://wingstop.com,(310) 677-1234,3.8,678,ChIJwingstop_ing01
Continental Bar,10940 W Pico Blvd West LA CA 90064,https://continentalbarla.com,(310) 441-5269,4.2,234,ChIJcontinental01
The Garage Bar,3435 W El Segundo Blvd Hawthorne CA 90250,https://garagebarhawthorne.com,(310) 675-3000,4.1,167,ChIJgaragebar01
No Reviews Spot,555 Fake St Inglewood CA 90301,https://noreviews.com,(310) 555-0000,4.0,3,ChIJnoreviews01
